Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price,Remarks
29-AUG-2023,AGUL,A G Universal Limited,AJIAM CAPITAL PRIVATE LIMITED .,BUY,42000,77.75,-
29-AUG-2023,ANTGRAPHIC,Antarctica Graphics Ltd,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,BUY,1,1.00,-
29-AUG-2023,BEML,BEML Limited,GRAVITON RESEARCH CAPITAL LLP,BUY,341361,2383.76,-
29-AUG-2023,BEML,BEML Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,236876,2413.43,-
29-AUG-2023,BHANDARI,Bhandari Hosiery Exp Ltd,PRITHVI  FINMART  PRIVATE LIMITED,BUY,941287,7.65,-
29-AUG-2023,CONFIPET,Confidence Petro Ind Ltd.,GRAVITON RESEARCH CAPITAL LLP,BUY,1447910,96.23,-
29-AUG-2023,DCXINDIA,DCX Systems Limited,GRAVITON RESEARCH CAPITAL LLP,BUY,751377,329.80,-
29-AUG-2023,DIL,Debock Industries Limited,JAINAM BROKING LIMITED,BUY,552339,10.89,-
29-AUG-2023,DIL,Debock Industries Limited,A S CONFIN PRIVATE LIMITED,BUY,618224,10.91,-
29-AUG-2023,DIL,Debock Industries Limited,ESAAR (INDIA) LIMITED,BUY,623378,11.14,-
29-AUG-2023,DIL,Debock Industries Limited,MOHIT  SHARMA,BUY,750000,10.80,-
29-AUG-2023,DIL,Debock Industries Limited,ELAN VENTURES PRIVATE LIMITED,BUY,918124,10.87,-
29-AUG-2023,GANESHBE,Ganesh Benzoplast Limited,GRAVITON RESEARCH CAPITAL LLP,BUY,341712,179.29,-
29-AUG-2023,GODHA,Godha Cabcon Insulat Ltd,MALTI  SALVI,BUY,1704000,1.10,-
29-AUG-2023,HCC,Hindustan Construc Co.,HRTI PRIVATE LIMITED,BUY,8361192,27.97,-
29-AUG-2023,HSCL,Himadri Speciality Chem L,GRAVITON RESEARCH CAPITAL LLP,BUY,2711284,219.08,-
29-AUG-2023,IBREALEST,Indiabulls Real Estate Li,HRTI PRIVATE LIMITED,BUY,2835553,77.34,-
29-AUG-2023,IBULHSGFIN,Indiabulls Hsg Fin Ltd,HRTI PRIVATE LIMITED,BUY,3201474,189.82,-
29-AUG-2023,IPL,India Pesticides Limited,MSB E TRADE SECURITIES LIMITED,BUY,1099315,255.04,-
29-AUG-2023,KSHITIJPOL,Kshitij Polyline Limited,ZENAB AIYUB YACOOBALI,BUY,499999,5.50,-
29-AUG-2023,KSHITIJPOL,Kshitij Polyline Limited,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,BUY,500000,5.50,-
29-AUG-2023,MADHAV,Madhav Marbles and Granit,MITTAL RIMPY,BUY,67147,50.31,-
29-AUG-2023,MOS,Mos Utility Limited,MARWADI SHARES AND FINANCE LTD.,BUY,131200,108.68,-
29-AUG-2023,MOXSH,Moxsh Overseas Educon Ltd,VIGHNESH ARUN PALKAR,BUY,13600,136.29,-
29-AUG-2023,MTNL,Maha Tel Nigam Ltd.,BONANZA COMMODITY BROKERS PRIVATE LIMITED,BUY,1471916,23.74,-
29-AUG-2023,NIDAN,Nidan Labs and Health Ltd,AJAY  SALVI,BUY,86000,37.00,-
29-AUG-2023,ORIENTLTD,Orient Press Limited,PRIYANKA THAKUR,BUY,77037,84.18,-
29-AUG-2023,ORIENTLTD,Orient Press Limited,GRAVITON RESEARCH CAPITAL LLP,BUY,59729,89.14,-
29-AUG-2023,RAILTEL,Railtel Corp of Ind Ltd,GRAVITON RESEARCH CAPITAL LLP,BUY,2655324,195.54,-
29-AUG-2023,RKEC,RKEC Projects Limited,EARNEST SHIPPING AND SHIP BUILDERS LIMITED,BUY,300000,73.68,-
29-AUG-2023,RPOWER,Reliance Power Limited,HRTI PRIVATE LIMITED,BUY,24105980,18.24,-
29-AUG-2023,RPOWER,Reliance Power Limited,CITADEL SECURITIES INDIA MARKETS PRIVATE LIMITED,BUY,22180795,18.22,-
29-AUG-2023,SAHANA,Sahana System Limited,YUGA STOCKS AND COMMODITIES PRIVATE LIMITED  .,BUY,51000,269.14,-
29-AUG-2023,SAHANA,Sahana System Limited,AJIAM CAPITAL PRIVATE LIMITED .,BUY,42000,270.10,-
29-AUG-2023,SHRIRAMPPS,Shriram Properties Ltd,JAINAM BROKING LIMITED,BUY,976411,88.85,-
29-AUG-2023,SHRIRAMPPS,Shriram Properties Ltd,GRAVITON RESEARCH CAPITAL LLP,BUY,1065445,88.69,-
29-AUG-2023,VIKASECO,Vikas EcoTech Limited,VISHWAS FINCAP SERVICES PRIVATE LIMITED,BUY,9729197,3.00,-
29-AUG-2023,VIKASLIFE,Vikas Lifecare Limited,HI GROWTH CORPORATE SERVICES PVT LTD,BUY,8487000,3.98,-
29-AUG-2023,VINYLINDIA,Vinyl Chemicals (India) L,YUGA STOCKS AND COMMODITIES PRIVATE LIMITED  .,BUY,177257,508.84,-
29-AUG-2023,VINYLINDIA,Vinyl Chemicals (India) L,GRAVITON RESEARCH CAPITAL LLP,BUY,106044,485.28,-
29-AUG-2023,AGUL,A G Universal Limited,R K MIDCAP FINSEC PVT LTD,SELL,34000,77.59,-
29-AUG-2023,AGUL,A G Universal Limited,AJIAM CAPITAL PRIVATE LIMITED .,SELL,38000,77.50,-
29-AUG-2023,ALLETEC,All E Technologies Ltd,DREAM ACHIEVER CONSULTANCY SERVICES PRIVATE LIMITED,SELL,251200,149.45,-
29-AUG-2023,AMBICAAGAR,Ambica Agar & AromaIndLtd,MITHUN SECURITIES PVT. LTD.,SELL,100000,43.05,-
29-AUG-2023,ANTGRAPHIC,Antarctica Graphics Ltd,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,SELL,941001,1.00,-
29-AUG-2023,BEML,BEML Limited,GRAVITON RESEARCH CAPITAL LLP,SELL,341361,2383.31,-
29-AUG-2023,BEML,BEML Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,236876,2414.76,-
29-AUG-2023,BHANDARI,Bhandari Hosiery Exp Ltd,PRITHVI  FINMART  PRIVATE LIMITED,SELL,958799,7.69,-
29-AUG-2023,CAPACITE,Capacite Infraproject Ltd,GOLDMAN SACHS INVESTMENTS (MAURITIUS) I LIMITED,SELL,375000,203.19,-
29-AUG-2023,CONFIPET,Confidence Petro Ind Ltd.,GRAVITON RESEARCH CAPITAL LLP,SELL,1447910,96.39,-
29-AUG-2023,DCXINDIA,DCX Systems Limited,GRAVITON RESEARCH CAPITAL LLP,SELL,751377,329.71,-
29-AUG-2023,DIL,Debock Industries Limited,JAINAM BROKING LIMITED,SELL,352339,10.91,-
29-AUG-2023,DIL,Debock Industries Limited,ELAN VENTURES PRIVATE LIMITED,SELL,473792,10.80,-
29-AUG-2023,DIL,Debock Industries Limited,UPPINANGADY SUDHINDRA NAYAK,SELL,1112584,10.84,-
29-AUG-2023,DIL,Debock Industries Limited,A S CONFIN PRIVATE LIMITED,SELL,618224,10.89,-
29-AUG-2023,DIL,Debock Industries Limited,ESAAR (INDIA) LIMITED,SELL,623378,10.80,-
29-AUG-2023,GANESHBE,Ganesh Benzoplast Limited,GRAVITON RESEARCH CAPITAL LLP,SELL,341712,179.50,-
29-AUG-2023,GODHA,Godha Cabcon Insulat Ltd,MALTI  SALVI,SELL,29204000,1.10,-
29-AUG-2023,HCC,Hindustan Construc Co.,HRTI PRIVATE LIMITED,SELL,8665883,27.98,-
29-AUG-2023,HEADSUP,Heads UP Ventures Limited,MANIMEGALAI GANESAN,SELL,227959,11.14,-
29-AUG-2023,HSCL,Himadri Speciality Chem L,GRAVITON RESEARCH CAPITAL LLP,SELL,2711284,219.28,-
29-AUG-2023,IBREALEST,Indiabulls Real Estate Li,HRTI PRIVATE LIMITED,SELL,2725227,77.45,-
29-AUG-2023,IBULHSGFIN,Indiabulls Hsg Fin Ltd,HRTI PRIVATE LIMITED,SELL,3336160,190.19,-
29-AUG-2023,IPL,India Pesticides Limited,MSB E TRADE SECURITIES LIMITED,SELL,1099315,255.17,-
29-AUG-2023,KSHITIJPOL,Kshitij Polyline Limited,BHARAT HEMRAJ GALA,SELL,1701419,5.50,-
29-AUG-2023,MADHAV,Madhav Marbles and Granit,MITTAL RIMPY,SELL,67147,50.38,-
29-AUG-2023,MOS,Mos Utility Limited,MARWADI SHARES AND FINANCE LTD.,SELL,131200,109.31,-
29-AUG-2023,MTNL,Maha Tel Nigam Ltd.,BONANZA COMMODITY BROKERS PRIVATE LIMITED,SELL,1451916,23.53,-
29-AUG-2023,NIDAN,Nidan Labs and Health Ltd,NITIN VITTHALRAO THORAVE,SELL,100000,37.01,-
29-AUG-2023,NIDAN,Nidan Labs and Health Ltd,AJAY  SALVI,SELL,86000,37.19,-
29-AUG-2023,ORIENTLTD,Orient Press Limited,PRIYANKA THAKUR,SELL,77037,88.58,-
29-AUG-2023,ORIENTLTD,Orient Press Limited,GRAVITON RESEARCH CAPITAL LLP,SELL,59729,89.27,-
29-AUG-2023,RAILTEL,Railtel Corp of Ind Ltd,GRAVITON RESEARCH CAPITAL LLP,SELL,2655324,195.62,-
29-AUG-2023,REMSONSIND,Remsons Industries Ltd,SAGAR VINAYCHANDRA SHAH,SELL,50000,398.18,-
29-AUG-2023,RPOWER,Reliance Power Limited,CITADEL SECURITIES INDIA MARKETS PRIVATE LIMITED,SELL,8473973,18.30,-
29-AUG-2023,RPOWER,Reliance Power Limited,HRTI PRIVATE LIMITED,SELL,23589605,18.19,-
29-AUG-2023,RTNPOWER,RattanIndia Power Limited,ABARC-AST-002-TRUST,SELL,53849965,5.84,-
29-AUG-2023,SAHANA,Sahana System Limited,YUGA STOCKS AND COMMODITIES PRIVATE LIMITED  .,SELL,51000,268.62,-
29-AUG-2023,SAHANA,Sahana System Limited,AJIAM CAPITAL PRIVATE LIMITED .,SELL,36000,268.06,-
29-AUG-2023,SHRIRAMPPS,Shriram Properties Ltd,JAINAM BROKING LIMITED,SELL,182055,87.20,-
29-AUG-2023,SHRIRAMPPS,Shriram Properties Ltd,GRAVITON RESEARCH CAPITAL LLP,SELL,1065445,88.77,-
29-AUG-2023,SSFL,Srivari Spices N Foods L,SPRING VENTURES,SELL,45000,135.50,-
29-AUG-2023,VIKASECO,Vikas EcoTech Limited,VISHWAS FINCAP SERVICES PRIVATE LIMITED,SELL,8739327,3.02,-
29-AUG-2023,VIKASECO,Vikas EcoTech Limited,VIKASA GLOBAL FUND PCC-EUBILIA CAPITAL PARTNERS FUND I,SELL,30562489,2.91,-
29-AUG-2023,VIKASLIFE,Vikas Lifecare Limited,HI GROWTH CORPORATE SERVICES PVT LTD,SELL,6951264,4.00,-
29-AUG-2023,VINYLINDIA,Vinyl Chemicals (India) L,YUGA STOCKS AND COMMODITIES PRIVATE LIMITED  .,SELL,177257,509.82,-
29-AUG-2023,VINYLINDIA,Vinyl Chemicals (India) L,GRAVITON RESEARCH CAPITAL LLP,SELL,106044,484.78,-
